std_a_ =6	std_yawdd_ =1
0.1	1.5746
0.2	1.27517
0.3	1.14321
0.4	0.446481
0.5	0.424064
0.6	4.91782
0.7	0.159321
0.8	9.7291
0.9	3.83234
1	2.16943
1.1	2.86522
1.2	0.234661
1.3	1.86533
1.4	0.75057
1.5	0.197922
1.6	0.468882
1.7	0.658837
1.8	2.36336
1.9	0.970927
2	1.28889
2.1	2.3797
2.2	0.231471
2.3	0.742753
2.4	3.17211
2.5	2.36342
2.6	0.983737
2.7	0.466373
2.8	2.6272
2.9	0.58135
3	0.26386
3.1	0.378563
3.2	0.284718
3.3	0.484136
3.4	0.72603
3.5	0.0873885
3.6	1.18049
3.7	1.22457
3.8	0.997566
3.9	1.26724
4	3.43455
4.1	2.25911
4.2	1.25153
4.3	2.91592
4.4	3.88298
4.5	3.64571
4.6	1.4727
4.7	1.0654
4.8	2.07088
4.9	0.133591
5	5.29603
5.1	0.605561
5.2	2.31822
5.3	0.801405
5.4	1.52441
5.5	0.421698
5.6	0.851133
5.7	2.42732
5.8	2.61911
5.9	0.685535
6	0.287812
6.1	0.627238
6.2	1.76131
6.3	3.24486
6.4	1.28789
6.5	0.907058
6.6	0.917511
6.7	0.095966
6.8	2.86954
6.9	0.605003
7	0.676789
7.1	0.915003
7.2	2.11366
7.3	0.57506
7.4	0.692917
7.5	1.28591
7.6	0.342964
7.7	2.14838
7.8	0.173496
7.9	1.73685
8	0.499174
8.1	0.168814
8.2	4.31449
8.3	1.18633
8.4	0.227013
8.5	3.73813
8.6	2.96634
8.7	0.0463867
8.8	1.72647
8.9	0.0272055
9	0.168862
9.1	0.118832
9.2	2.82156
9.3	1.98654
9.4	0.436899
9.5	0.940387
9.6	0.918103
9.7	3.12398
9.8	1.13077
9.9	6.20871
10	0.0203778
10.1	0.470969
10.2	2.32988
10.3	1.51622
10.4	0.505651
10.5	1.3556
10.6	0.870779
10.7	0.419827
10.8	4.9866
10.9	0.922114
11	3.71544
11.1	0.52761
11.2	0.370703
11.3	4.38135
11.4	2.09724
11.5	0.550561
11.6	2.42735
11.7	1.0144
11.8	3.78313
11.9	0.0357089
12	1.27413
12.1	0.745083
12.2	0.325326
12.3	2.11022
12.4	0.161793
12.5	2.21037
12.6	0.722834
12.7	1.68128
12.8	1.31462
12.9	1.21906
13	0.0837745
13.1	1.33667
13.2	0.436384
13.3	0.982334
13.4	5.68949
13.5	3.50274
13.6	1.55258
13.7	1.46142
13.8	1.58518
13.9	2.01682
14	1.17144
14.1	0.34061
14.2	0.536136
14.3	2.37335
14.4	1.47564
14.5	4.53765
14.6	0.656619
14.7	1.25104
14.8	0.303117
14.9	2.011
15	0.0331908
15.1	3.02176
15.2	1.13228
15.3	0.659428
15.4	3.67338
15.5	3.24453
15.6	3.36417
15.7	2.64417
15.8	0.33507
15.9	1.40222
16	4.41047
16.1	1.51727
16.2	1.41722
16.3	1.03756
16.4	1.52865
16.5	5.32459
16.6	2.04801
16.7	0.574034
16.8	1.7595
16.9	0.475314
17	0.208554
17.1	1.75357
17.2	0.29065
17.3	3.08984
17.4	1.08332
17.5	14.0212
17.6	0.962118
17.7	0.941747
17.8	0.838523
17.9	0.0900372
18	1.77873
18.1	6.29394
18.2	1.92396
18.3	1.14331
18.4	2.65535
18.5	2.6982
18.6	5.10799
18.7	3.08684
18.8	0.355844
18.9	0.508962
19	0.629012
19.1	0.422918
19.2	1.36567
19.3	4.0839
19.4	1.44911
19.5	4.69958
19.6	0.633467
19.7	1.63224
19.8	0.0407802
19.9	0.822825
20	1.90596
20.1	0.534086
20.2	2.28639
20.3	0.854724
20.4	0.4448
20.5	0.318144
20.6	0.67563
20.7	1.50314
20.8	0.46647
20.9	3.52531
21	2.27018
21.1	0.375298
21.2	1.02616
21.3	1.19244
21.4	0.0685653
21.5	0.028614
21.6	4.97343
21.7	0.989177
21.8	0.341206
21.9	2.15073
22	0.049675
22.1	4.45067
22.2	3.19709
22.3	1.43539
22.4	0.467093
22.5	0.56718
22.6	6.28404
22.7	0.611879
22.8	1.72382
22.9	0.166245
23	0.16305
23.1	1.21862
23.2	1.97675
23.3	1.81166
23.4	0.19729
23.5	1.80627
23.6	8.29177
23.7	0.554064
23.8	3.85315
23.9	1.93043
24	2.04764
24.1	0.63123
24.2	2.54806
24.3	1.25446
24.4	2.09657
24.5	0.881675
24.6	1.26359
24.7	2.94775
24.8	7.83163
24.9	0.745158
